date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:48	45867/45867	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:17:47%20GMT	https://rooicell.co.kr/en/	C:/rooicel/rooicel/rooicell.co.kr/en/index.html	(from https://rooicell.co.kr/)
16:17:48	101509/101509	---M--	200	added ('OK')	image/png	etag:%2218c85-5dca664e81b27%22	https://rooicell.co.kr/images/common/allmenu_leaf.png	C:/rooicel/rooicel/rooicell.co.kr/images/common/allmenu_leaf.png	(from https://rooicell.co.kr/)
16:17:48	1068857/1068857	---M--	200	added ('OK')	image/jpeg	etag:%22104f39-5deb6ed4f5cb6%22	https://rooicell.co.kr/images/main/nature_bg.jpg	C:/rooicel/rooicel/rooicell.co.kr/images/main/nature_bg.jpg	(from https://rooicell.co.kr/)
16:17:50	230/230	---M--	302	error ('Found')	text/html	date:Wed,%2005%20Feb%202025%2007:17:48%20GMT	http://rooicell.co.kr/product_view.php?idx=23	C:/rooicel/rooicel/rooicell.co.kr/product_view.296e19.delayed	(from https://rooicell.co.kr/)
16:17:50	46106/46106	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:17:48%20GMT	https://rooicell.co.kr/cn/	C:/rooicel/rooicel/rooicell.co.kr/cn/index.html	(from https://rooicell.co.kr/)
16:17:50	44753/44753	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:17:50%20GMT	https://rooicell.co.kr/product_view.php?idx=23	C:/rooicel/rooicel/rooicell.co.kr/product_view6e19.html	(from https://rooicell.co.kr/)
16:17:51	12740/12740	---M--	200	added ('OK')	image/jpeg	etag:%2231c4-5dcac6f53d307%22	https://rooicell.co.kr/data/main/file1_1650008043enowuc431g.jpg	C:/rooicel/rooicel/rooicell.co.kr/data/main/file1_1650008043enowuc431g.jpg	(from https://rooicell.co.kr/)
16:17:52	230/230	---M--	302	error ('Found')	text/html	date:Wed,%2005%20Feb%202025%2007:17:50%20GMT	http://rooicell.co.kr/product_view.php?idx=22	C:/rooicel/rooicel/rooicell.co.kr/product_view.2c6b06.delayed	(from https://rooicell.co.kr/)
16:17:53	46999/46999	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:17:52%20GMT	https://rooicell.co.kr/product_view.php?idx=22	C:/rooicel/rooicel/rooicell.co.kr/product_view6b06.html	(from https://rooicell.co.kr/)
16:17:53	13080/13080	---M--	200	added ('OK')	image/jpeg	etag:%223318-5dcac7169bf79%22	https://rooicell.co.kr/data/main/file1_1650008078q4b2hs8386.jpg	C:/rooicel/rooicel/rooicell.co.kr/data/main/file1_1650008078q4b2hs8386.jpg	(from https://rooicell.co.kr/)
16:17:54	230/230	---M--	302	error ('Found')	text/html	date:Wed,%2005%20Feb%202025%2007:17:52%20GMT	http://rooicell.co.kr/product_view.php?idx=21	C:/rooicel/rooicel/rooicell.co.kr/product_viewe266.php	(from https://rooicell.co.kr/)
16:17:55	44569/44569	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:17:54%20GMT	https://rooicell.co.kr/product_view.php?idx=21	C:/rooicel/rooicel/rooicell.co.kr/product_viewe266.html	(from https://rooicell.co.kr/)
16:17:55	25003383/25003383	---M--	200	added ('OK')	video/mp4	etag:%2217d8577-5dca664fea4b9%22	https://rooicell.co.kr/images/main20220318.mp4	C:/rooicel/rooicel/rooicell.co.kr/images/main20220318.mp4	(from https://rooicell.co.kr/)
16:17:55	12656/12656	---M--	200	added ('OK')	image/jpeg	etag:%223170-5dcac735c83f4%22	https://rooicell.co.kr/data/main/file1_16500081118hbf6vbvon.jpg	C:/rooicel/rooicel/rooicell.co.kr/data/main/file1_16500081118hbf6vbvon.jpg	(from https://rooicell.co.kr/)
16:17:56	230/230	---M--	302	error ('Found')	text/html	date:Wed,%2005%20Feb%202025%2007:17:54%20GMT	http://rooicell.co.kr/product_view.php?idx=20	C:/rooicel/rooicel/rooicell.co.kr/product_view6daa.php	(from https://rooicell.co.kr/)
16:17:57	44675/44675	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Feb%202025%2007:17:56%20GMT	https://rooicell.co.kr/product_view.php?idx=20	C:/rooicel/rooicel/rooicell.co.kr/product_view6daa.html	(from https://rooicell.co.kr/)
16:17:57	12186/12186	---M--	200	added ('OK')	image/jpeg	etag:%222f9a-5dcac760dd631%22	https://rooicell.co.kr/data/main/file1_1650008156gt5l0l43zm.jpg	C:/rooicel/rooicel/rooicell.co.kr/data/main/file1_1650008156gt5l0l43zm.jpg	(from https://rooicell.co.kr/)
